candidate_id,source,title,composer_normalized,grade,grade_source,midi_min,midi_max,midi_range,midi_median,key_fifths,key_changes,tempo_bpm,time_sig,meter_changes,smallest_division,dotted_count,tied_count,tuplet_count,max_chord_stack,polyphonic_measure_ratio,voice_count_max,ornament_mordent,ornament_trill,ornament_turn,grace_count,harmonic_count,barre_count,position_shift_proxy,measure_count,note_count,duration_sec_approx
guitarloot:Scores/EnglishMusic/Danyel/PavanDanGtr.iPad,guitarloot,Pavan,John Danyel 1564 –,9,delcamp-eric-crouch,52,85,33,73,3,1,64.0,2/2,1,32,70,34,0,3,1.0,3,0,0,0,0,0,0,,64,860,240.0
guitarloot:Scores/EnglishMusic/Danyel/RosaMix,guitarloot,Rosa(mund),John Danyel,9,delcamp-eric-crouch,52,89,37,74,0,1,60.0,2/2,1,16,67,34,0,4,1.0,3,0,0,0,0,0,0,,86,983,344.0
guitarloot:Scores/EnglishMusic/Danyel/Rosagtr,guitarloot,Rosa,John Danyel,9,delcamp-eric-crouch,52,89,37,74,0,1,60.0,2/2,1,16,63,34,0,4,1.0,3,0,0,0,0,0,0,,86,987,344.0
guitarloot:Scores/EnglishMusic/Danyel/RosamundGtr,guitarloot,Rosamund,John Danyel,9,delcamp-eric-crouch,52,88,36,74,0,1,68.0,2/2,1,32,83,52,0,4,1.0,3,0,0,0,0,0,0,,86,1197,303.5
guitarloot:Scores/EnglishMusic/Danyel/fRosagtr,guitarloot,Rosa,John Danyel,9,delcamp-eric-crouch,52,89,37,74,0,1,60.0,2/2,1,16,63,34,0,4,1.0,3,0,0,0,0,0,0,,86,987,344.0
guitarloot:Scores/EnglishMusic/Dowland/32VauxGalliardGtr,guitarloot,Mrs. Vaux Galliard,John Dowland,8,delcamp-eric-crouch,40,72,32,57.0,0,1,72.0,3/4,1,16,30,54,0,3,1.0,3,0,0,0,0,0,0,,28,347,70.0
guitarloot:Scores/EnglishMusic/Dowland/57VauxGigue,guitarloot,Mrs. Vaux Gigue,John Dowland,8,delcamp-eric-crouch,40,72,32,59,0,1,84.0,6/8,1,16,31,18,0,3,0.966,3,0,0,0,0,0,0,,29,364,62.1
guitarloot:Scores/EnglishMusic/Dowland/Almain49Gtr,guitarloot,An Almain,John Dowland,8,delcamp-eric-crouch,52,83,31,73.0,4,1,76.0,4/4,1,16,27,10,0,3,1.0,3,0,0,0,0,0,0,,19,187,60.0
guitarloot:Scores/EnglishMusic/Dowland/AlmandGtrA,guitarloot,Almand,John Dowland,8,delcamp-eric-crouch,50,91,41,76,-1,1,,4/4,1,32,33,24,0,3,1.0,3,0,0,0,0,0,0,,33,413,
guitarloot:Scores/EnglishMusic/Dowland/AloeGtr.iPad,guitarloot,Aloe,John Dowland,8,delcamp-eric-crouch,52,86,34,71.0,1,1,68.0,4/4,1,16,37,2,0,4,1.0,4,0,0,0,0,0,0,,48,763,169.4
guitarloot:Scores/EnglishMusic/Dowland/BarbaraDowlandGtr,guitarloot,La Mia Barbara,John Dowland,8,delcamp-eric-crouch,50,88,38,73.0,2,1,64.0,4/4,1,32,67,78,0,3,1.0,4,0,0,0,0,0,0,,98,1286,367.5
guitarloot:Scores/EnglishMusic/Dowland/CanSheExcuseGtriPad,guitarloot,"Can She Excuse My Wrongs (P42)
(Poulton 42)",John Dowland,8,delcamp-eric-crouch,52,83,31,71,0,1,76.0,3/4,1,32,56,20,0,3,1.0,4,0,0,0,0,0,0,,48,536,113.7
guitarloot:Scores/EnglishMusic/Dowland/CaseP.iPad,guitarloot,Dr Case's Pavane,John Dowland,8,delcamp-eric-crouch,50,83,33,71,2,1,56.0,4/4,1,32,40,40,0,3,1.0,4,0,0,0,0,0,0,,24,442,102.9
guitarloot:Scores/EnglishMusic/Dowland/ChamberlainGalliardGtrSoloAS,guitarloot,My Lord Chamberlain's Galliard,John Dowland,8,delcamp-eric-crouch,52,79,27,71.0,0,1,68.0,3/4,1,32,32,10,0,3,1.0,3,0,0,0,0,0,0,,25,347,66.2
guitarloot:Scores/EnglishMusic/Dowland/CliftonGtr,guitarloot,"The Right Honourable, the Lady Clifton's Spirit",John Dowland,8,delcamp-eric-crouch,52,83,31,71.0,1,2,76.0,3/4,1,16,68,20,0,3,1.0,3,0,0,0,0,0,0,,48,593,113.7
guitarloot:Scores/EnglishMusic/Dowland/ComeAwayGtr,guitarloot,Come Away,John Dowland,8,delcamp-eric-crouch,50,83,33,73.0,2,1,72.0,4/4,1,32,18,24,0,3,1.0,3,0,0,0,0,0,0,,20,222,66.7
guitarloot:Scores/EnglishMusic/Dowland/DMidnightGtr.iPad,guitarloot,Mr. Dowlands Midnight,John Dowland,8,delcamp-eric-crouch,50,84,34,76.0,-1,1,84.0,4/4,1,8,10,0,0,3,1.0,2,0,0,0,0,0,0,,16,134,45.7
guitarloot:Scores/EnglishMusic/Dowland/DarbyGallEGtr.iPad,guitarloot,"The Right Honourable Ferdinando Earle of Darby 
his Galliard (Poulton 44a)",John Dowland,8,delcamp-eric-crouch,52,85,33,75.0,4,1,68.0,3/4,2,32,122,56,0,4,1.0,4,0,0,0,0,0,0,,53,635,140.3
guitarloot:Scores/EnglishMusic/Dowland/DigoryGallGtrAS,guitarloot,Captain Digorie Piper's Galliard,John Dowland,8,delcamp-eric-crouch,52,86,34,72.0,1,1,68.0,3/4,1,32,45,50,0,3,1.0,3,0,0,0,0,0,0,,48,560,127.1
guitarloot:Scores/EnglishMusic/Dowland/Dowlands1stGallP22AS,guitarloot,Dowland's First Galliard,John Dowland,8,delcamp-eric-crouch,52,83,31,71.0,1,1,72.0,3/4,1,16,49,0,0,5,1.0,3,0,0,0,0,0,0,,54,639,135.0
guitarloot:Scores/EnglishMusic/Dowland/DowlandsBellsECA,guitarloot,Dowland's Bells (Lady Rich's Galliard),John Dowland,8,delcamp-eric-crouch,49,83,34,75,4,1,76.0,3/4,1,16,67,6,0,3,1.0,3,0,0,0,0,0,0,,48,446,113.7
guitarloot:Scores/EnglishMusic/Dowland/DreamGtrA,guitarloot,A Dream,John Dowland,8,delcamp-eric-crouch,52,84,32,71.0,1,1,60.0,2/2,1,32,42,12,0,3,1.0,4,0,0,0,0,0,0,,24,410,96.0
guitarloot:Scores/EnglishMusic/Dowland/FancyP6Gtr,guitarloot,A Fancy (Poulton No. 6),John Dowland,8,delcamp-eric-crouch,52,84,32,71,1,1,68.0,4/4,1,32,45,24,0,3,1.0,3,0,0,0,0,0,0,,47,774,165.9
guitarloot:Scores/EnglishMusic/Dowland/Fantasia73.Gtr.iPad,guitarloot,Fancy,John Dowland,8,delcamp-eric-crouch,52,83,31,72,4,1,60.0,4/4,1,32,31,118,0,3,1.0,3,0,0,0,0,0,0,,47,1096,188.0
guitarloot:Scores/EnglishMusic/Dowland/Fantasia73.Srev.Gtr.iPad,guitarloot,Fancy; Revised version,John Dowland,8,delcamp-eric-crouch,52,83,31,72.0,4,1,60.0,4/4,3,32,40,102,0,3,1.0,3,0,0,0,0,0,0,,58,1083,232.0
guitarloot:Scores/EnglishMusic/Dowland/Fantasia74.Gtr.iPad,guitarloot,Fancy,John Dowland,8,delcamp-eric-crouch,52,83,31,73.0,4,1,72.0,4/4,1,16,10,16,0,6,1.0,3,0,0,0,0,0,0,,29,374,96.7
guitarloot:Scores/EnglishMusic/Dowland/FantasyP5GtrAS,guitarloot,Fantasy,John Dowland,8,delcamp-eric-crouch,52,83,31,71,2,1,68.0,4/4,2,16,49,66,0,4,1.0,3,0,0,0,0,0,0,,35,663,123.5
guitarloot:Scores/EnglishMusic/Dowland/FortuneGtrA,guitarloot,Fortune,John Dowland,8,delcamp-eric-crouch,50,88,38,78.0,1,1,84.0,4/4,1,16,24,0,0,2,1.0,3,0,0,0,0,0,0,,48,408,137.1
guitarloot:Scores/EnglishMusic/Dowland/FrogTGtrA,guitarloot,The Frog Galliard,after John Dowland,8,delcamp-eric-crouch,52,85,33,73,4,1,96.0,3/4,1,16,197,88,0,3,1.0,4,0,0,0,0,0,0,,113,909,211.9
guitarloot:Scores/EnglishMusic/Dowland/GagliardaGtr,guitarloot,Gagliarda,Attr. John Dowland,8,delcamp-eric-crouch,52,88,36,71,4,1,76.0,3/4,1,16,83,30,0,3,1.0,3,0,0,0,0,0,0,,61,530,144.5
guitarloot:Scores/EnglishMusic/Dowland/Gall30GtrA,guitarloot,Galliard,John Dowland,8,delcamp-eric-crouch,52,83,31,71.0,1,1,68.0,3/4,1,16,90,30,0,3,1.0,4,0,0,0,0,0,0,,48,676,127.1
guitarloot:Scores/EnglishMusic/Dowland/Gall35GtrRev,guitarloot,Galliard,John Dowland,8,delcamp-eric-crouch,52,83,31,72.0,1,1,76.0,3/4,1,16,56,20,0,3,1.0,4,0,0,0,0,0,0,,40,454,94.7
guitarloot:Scores/EnglishMusic/Dowland/Galliard24GtrAS,guitarloot,Galliard (Poulton 24),John Dowland,8,delcamp-eric-crouch,55,86,31,74.0,2,1,84.0,3/4,1,16,40,8,0,3,1.0,4,0,0,0,0,0,0,,23,187,49.3
guitarloot:Scores/EnglishMusic/Dowland/GalliardP27Gtr.iPad,guitarloot,Galliard,John Dowland,8,delcamp-eric-crouch,50,84,34,72,-1,1,84.0,3/4,1,8,52,4,0,4,1.0,4,0,0,0,0,0,0,,36,256,77.1
guitarloot:Scores/EnglishMusic/Dowland/GalliardP28Gtr,guitarloot,Galliard (Poulton 28),John Dowland,8,delcamp-eric-crouch,52,84,32,71,0,1,84.0,3/4,1,32,98,78,0,3,1.0,4,0,0,0,0,0,0,,52,711,111.4
guitarloot:Scores/EnglishMusic/Dowland/GalliardP82Gtr,guitarloot,Galliard,John Dowland/Francis Cutting,8,delcamp-eric-crouch,50,84,34,74.0,-1,1,72.0,3/4,1,16,37,6,0,3,1.0,3,0,0,0,0,0,0,,52,613,130.0
guitarloot:Scores/EnglishMusic/Dowland/GoWindowGtr.iPad,guitarloot,Go From My Window,John Dowland,8,delcamp-eric-crouch,52,81,29,69,4,1,76.0,4/4,2,32,85,60,0,3,1.0,3,0,0,0,0,0,0,,72,858,227.4
guitarloot:Scores/EnglishMusic/Dowland/HobieGallGtrAS,guitarloot,Giles Hobie's Galliard,John Dowland,8,delcamp-eric-crouch,52,86,34,74,0,1,76.0,3/4,1,32,68,48,0,4,1.0,4,0,0,0,0,0,0,,48,652,113.7
guitarloot:Scores/EnglishMusic/Dowland/JSmithAlmaineGtrAS,guitarloot,Sir John Smith his Almaine (Poulton 47),John Dowland,8,delcamp-eric-crouch,50,86,36,73,2,1,92.0,4/4,1,16,44,42,48,3,1.0,3,0,0,0,0,0,0,,68,790,177.4
guitarloot:Scores/EnglishMusic/Dowland/LachrimaeGalliardGtrf.iPad,guitarloot,Galliard to Lachrimae,John Dowland,8,delcamp-eric-crouch,52,86,34,71,0,1,68.0,3/4,1,16,68,102,0,3,1.0,4,0,0,0,0,0,0,,52,746,137.6
guitarloot:Scores/EnglishMusic/Dowland/LangtonGallGtrA,guitarloot,Mr Langton's Galliard,John Dowland,8,delcamp-eric-crouch,52,90,38,73.0,4,1,68.0,3/4,1,32,86,40,0,3,1.0,4,0,0,0,0,0,0,,68,649,180.0
guitarloot:Scores/EnglishMusic/Dowland/LisleGtr,guitarloot,"The Lord Viscount Lisle, His Galliard",John Dowland,8,delcamp-eric-crouch,50,84,34,72.0,-1,1,60.0,3/4,1,32,75,16,0,4,1.0,3,0,0,0,0,0,0,,48,627,144.0
guitarloot:Scores/EnglishMusic/Dowland/LothDepartGtr,guitarloot,Loth to Depart (Poulton 69),John Dowland,8,delcamp-eric-crouch,52,86,34,71,1,1,,3/4,1,64,105,38,0,4,1.0,4,0,0,0,0,0,0,,112,1380,
guitarloot:Scores/EnglishMusic/Dowland/MelancholyGalliardGtrDiPad,guitarloot,Melancholy Galliard (Poulton 25),John Dowland,8,delcamp-eric-crouch,50,84,34,73.0,-1,1,68.0,3/4,1,16,52,32,0,3,0.98,4,0,0,0,0,0,0,,49,554,129.7
guitarloot:Scores/EnglishMusic/Dowland/MignardaEGtr,guitarloot,Mignarda (M. Henry Noel's Galliard),John Dowland,8,delcamp-eric-crouch,52,83,31,73,4,1,64.0,3/4,1,32,120,52,0,4,1.0,4,0,0,0,0,0,0,,64,739,180.0
guitarloot:Scores/EnglishMusic/Dowland/NoTitleP51.iPad,guitarloot,A Piece Without Title (Poulton 51),John Dowland,8,delcamp-eric-crouch,50,88,38,71,2,1,64.0,4/4,1,32,23,16,4,3,1.0,4,0,0,0,0,0,0,,18,423,67.5
guitarloot:Scores/EnglishMusic/Dowland/P58ShoemakersWife,guitarloot,The Shoemaker's Wife,John Dowland,8,delcamp-eric-crouch,50,83,33,73,2,1,72.0,6/8,1,32,49,12,6,3,1.0,3,0,0,0,0,0,0,,24,366,60.0
